timestamp,bidPrice,bidSize,askPrice,askSize
1604481091369,381.80000000,13.41684000,381.81000000,46.02232000
1604481092403,381.80000000,8.19224000,381.81000000,68.21492000
1604481093400,381.80000000,16.79622000,381.81000000,42.04233000
1604481094405,381.80000000,21.79622000,381.81000000,37.04233000
1604481095399,381.80000000,38.72617000,381.81000000,33.47943000
1604481096394,381.80000000,16.79622000,381.81000000,62.15135000
1604481097404,381.80000000,16.79622000,381.81000000,62.15135000
1604481098405,381.75000000,6.65142000,381.76000000,69.10101000
1604481099404,381.72000000,0.65650000,381.73000000,66.25431000
1604481100407,381.68000000,1.11005000,381.71000000,15.84646000
1604481101404,381.59000000,9.14813000,381.60000000,47.24936000
1604481102390,381.55000000,30.09262000,381.56000000,21.41232000
1604481103401,381.55000000,45.00000000,381.56000000,7.25860000
1604481104400,381.55000000,35.00000000,381.56000000,22.68062000
1604481105387,381.55000000,32.00550000,381.56000000,22.68062000
1604481106407,381.57000000,44.93958000,381.58000000,25.89918000
1604481107395,381.57000000,97.35347000,381.58000000,0.00086000
1604481108405,381.57000000,51.60113000,381.58000000,35.00000000
1604481109409,381.58000000,4.83063000,381.59000000,51.81900000
1604481110406,381.59000000,5.55056000,381.60000000,50.60000000
1604481111394,381.58000000,90.01422000,381.59000000,9.63000000
1604481112409,381.58000000,42.51422000,381.59000000,9.63000000
1604481113375,381.56000000,5.00000000,381.57000000,0.03172000
1604481114384,381.56000000,34.96975000,381.57000000,0.03172000
1604481115380,381.56000000,4.96975000,381.57000000,42.24650000
1604481116401,381.49000000,41.36358000,381.50000000,20.00000000
1604481117320,381.52000000,4.95500000,381.53000000,58.66791000
1604481118384,381.56000000,69.20800000,381.57000000,4.04046000
1604481119387,381.56000000,4.20800000,381.57000000,37.31736000
1604481120400,381.56000000,4.17652000,381.57000000,49.78710000
1604481121411,381.54000000,5.15572000,381.55000000,30.00000000
1604481122381,381.55000000,53.94188000,381.56000000,9.73371000
1604481123411,381.55000000,4.77523000,381.56000000,44.10108000
1604481124411,381.55000000,4.62313000,381.56000000,49.10108000
1604481125384,381.53000000,6.31022000,381.54000000,43.76158000
1604481126205,381.53000000,1.31022000,381.54000000,48.76158000
1604481127406,381.53000000,1.31022000,381.54000000,48.16710000
1604481128401,381.49000000,41.55094000,381.50000000,28.45843000
1604481129359,381.49000000,41.52107000,381.50000000,38.45843000
1604481130293,381.49000000,87.41235000,381.50000000,30.31509000
1604481131387,381.49000000,102.05296000,381.50000000,28.45843000
1604481132391,381.49000000,98.12504000,381.50000000,28.45843000
1604481133407,381.49000000,95.65895000,381.50000000,13.67407000
1604481134407,381.50000000,46.38120000,381.51000000,10.00000000
1604481135412,381.50000000,104.34982000,381.51000000,4.79077000
1604481136403,381.50000000,60.66170000,381.51000000,4.79077000
1604481137413,381.50000000,82.73602000,381.51000000,2.93409000
1604481138395,381.50000000,82.81755000,381.51000000,2.93409000
1604481139290,381.50000000,96.50567000,381.51000000,2.93409000
