timestamp,bidPrice,bidSize,askPrice,askSize
1604164677534,387.26000000,4.25238000,387.27000000,27.75255000
1604164678536,387.26000000,34.71044000,387.27000000,0.42668000
1604164679534,387.26000000,4.71044000,387.27000000,0.42668000
1604164680395,387.26000000,7.79429000,387.27000000,0.42668000
1604164681522,387.26000000,3.08385000,387.27000000,89.94066000
1604164682509,387.26000000,3.28385000,387.27000000,89.91225000
1604164683508,387.26000000,3.34185000,387.27000000,110.33775000
1604164684468,387.26000000,3.34185000,387.27000000,110.33775000
1604164685531,387.26000000,3.34185000,387.27000000,110.33775000
1604164686343,387.26000000,3.34185000,387.27000000,110.33775000
1604164687540,387.26000000,8.34185000,387.27000000,0.88085000
1604164688533,387.39000000,5.90102000,387.40000000,1.68980000
1604164689472,387.39000000,6.20568000,387.40000000,1.68980000
1604164690536,387.39000000,6.20568000,387.40000000,1.60648000
1604164691486,387.38000000,12.51739000,387.39000000,0.51396000
1604164692408,387.39000000,42.63209000,387.40000000,1.60648000
1604164693530,387.39000000,42.73534000,387.40000000,4.10940000
1604164694543,387.39000000,160.30511000,387.40000000,0.00040000
1604164695544,387.39000000,68.62470000,387.40000000,0.00040000
1604164696543,387.46000000,1.93565000,387.47000000,35.60314000
1604164697537,387.42000000,1.32328000,387.43000000,69.08465000
1604164698545,387.41000000,3.73100000,387.42000000,75.50000000
1604164699537,387.41000000,8.31589000,387.42000000,83.92412000
1604164700514,387.41000000,8.31589000,387.42000000,33.42412000
1604164701547,387.41000000,8.31589000,387.42000000,28.72510000
1604164702458,387.41000000,7.84953000,387.42000000,125.73102000
1604164703508,387.41000000,7.84953000,387.42000000,23.35644000
1604164704531,387.41000000,8.53138000,387.42000000,2.09691000
1604164705476,387.41000000,8.53138000,387.42000000,83.70805000
1604164706540,387.41000000,7.73298000,387.42000000,87.18135000
1604164707539,387.41000000,2.04465000,387.42000000,105.93535000
1604164708529,387.41000000,2.04465000,387.42000000,105.93535000
1604164709385,387.41000000,2.04465000,387.42000000,105.93535000
1604164710548,387.28000000,32.81810000,387.29000000,60.18069000
1604164711513,387.28000000,0.76646000,387.29000000,93.12046000
1604164712546,387.28000000,0.76646000,387.29000000,50.15266000
1604164713486,387.27000000,2.57825000,387.29000000,51.96841000
1604164714503,387.27000000,2.57825000,387.29000000,56.21746000
1604164715544,387.28000000,1.70358000,387.29000000,21.99688000
1604164716527,387.28000000,1.70358000,387.29000000,21.99688000
1604164717537,387.28000000,1.70358000,387.29000000,21.99688000
1604164718460,387.28000000,1.70358000,387.29000000,51.99688000
1604164719506,387.28000000,4.34922000,387.29000000,51.99688000
1604164720543,387.28000000,1.70358000,387.29000000,51.99688000
1604164721524,387.28000000,38.11457000,387.29000000,1.96679000
1604164722548,387.28000000,39.50916000,387.29000000,1.96679000
1604164723543,387.28000000,66.00916000,387.29000000,1.64679000
1604164724542,387.28000000,3.00916000,387.29000000,1.64679000
1604164725556,387.28000000,84.00916000,387.29000000,1.64679000
1604164726553,387.33000000,64.99973000,387.34000000,0.23244000
1604164727548,387.40000000,17.98776000,387.43000000,34.61687000
1604164728526,387.32000000,37.07125000,387.33000000,20.00000000
1604164729506,387.34000000,4.39379000,387.35000000,4.82223000
1604164730513,387.39000000,48.83775000,387.40000000,1.77919000
1604164731540,387.40000000,22.82438000,387.44000000,5.00000000
1604164732558,387.40000000,3.60789000,387.41000000,4.00000000
1604164733556,387.40000000,1.37591000,387.41000000,54.37251000
1604164734548,387.39000000,3.06155000,387.40000000,5.00000000
1604164735473,387.37000000,0.00061000,387.38000000,134.16509000
1604164736508,387.37000000,3.57700000,387.38000000,69.49009000
1604164737487,387.37000000,3.57700000,387.38000000,69.43113000
1604164738560,387.35000000,0.03097000,387.36000000,139.25852000
1604164739513,387.35000000,0.03097000,387.36000000,139.25852000
1604164740548,387.35000000,0.03097000,387.36000000,135.38295000
1604164741506,387.35000000,0.03097000,387.36000000,135.38295000
1604164742520,387.35000000,0.00097000,387.36000000,53.23834000
1604164743557,387.33000000,73.65337000,387.34000000,7.67606000
1604164744562,387.38000000,77.72023000,387.39000000,6.06172000
1604164745563,387.38000000,5.00000000,387.39000000,36.14753000
1604164746559,387.38000000,5.69280000,387.39000000,0.74172000
1604164747468,387.38000000,35.69280000,387.39000000,0.74172000
1604164748490,387.38000000,35.69280000,387.39000000,0.74172000
1604164749553,387.38000000,72.19280000,387.39000000,0.42172000
1604164750557,387.40000000,1.57828000,387.41000000,73.80956000
1604164751528,387.40000000,1.57828000,387.41000000,149.15765000
1604164752560,387.40000000,6.57828000,387.41000000,109.67444000
1604164753518,387.40000000,6.57828000,387.41000000,114.29833000
1604164754528,387.40000000,6.57828000,387.41000000,114.29833000
1604164755517,387.40000000,37.55428000,387.41000000,1.07713000
1604164756558,387.40000000,37.55428000,387.41000000,1.07713000
1604164757564,387.40000000,37.55428000,387.41000000,0.30276000
1604164758562,387.40000000,38.14994000,387.41000000,0.27349000
1604164759559,387.40000000,36.57828000,387.41000000,0.27349000
1604164760531,387.40000000,36.57828000,387.41000000,0.27349000
